'C_q:[as=smp,vc=smp]:አጨ፟ቀ::TqTq.E_
flqq:[as=smp,vc=smp]:ፈለቀ፟ቀ::flqq.E_
fnC*:[as=smp,vc=smp]:ፈነጨ፟::fnTr.F_ps
fnTq:[as=smp,vc=smp]:ፈነጠ፟ቀ::fnTq.E_
fnTr:[as=rc,vc=tr]:አፈ፟ናጠ፟ረ::fnTr.F_csps
fnTr:[as=smp,vc=cs]:አስፈነጠ፟ረ::fnTr.F_csps
fnTz:[as=smp,vc=smp]:ፈነጠ፟ዘ::fnTz.E_
fnaTT:[as=smp,vc=ps]:ተፈናጠ፟ጠ::qTl.B_ps
fnd':[as=smp,vc=smp]:ፈነዳ፟::fndh.E_
fndd:[as=smp,vc=tr]:አፈነደ፟ደ::fndd.E_cs
fngl:[as=smp,vc=smp]:ፈነገ፟ለ::fngl.E_
fnql:[as=rc,vc=ps]:ተፈናቀ፟ለ::fnql.E_psrc
fnql:[as=smp,vc=smp]:ፈነቀ፟ለ::fnql.E_
fqr:[as=rc,vc=ps]:ተፋቀ፟ረ::wdd.A_psrc
fqr:[as=smp,vc=tr]:አፈቀ፟ረ::wdd.A_
fr':[as=it,vc=tr]:አፍራራ፟::kcy.Aw_csit
fr':[as=smp,vc=smp]:ፈራ፟::kcy.Aw_
frTT:[as=smp,vc=smp]:ፈረጠ፟ጠ::xxy.A_
fr_m:[as=smp,vc=smp]:ፈረ፟መ::frm.B_
frd:[as=smp,vc=smp]:ፈረ፟ደ::frd.A_
frs:[as=it,vc=smp]:ፈራረ፟ሰ::brs.A_psit
frs:[as=smp,vc=smp]:ፈረ፟ሰ::brs.A_ps
frs:[as=smp,vc=tr]:አፈረ፟ሰ::brs.A_
fs':[as=smp,vc=smp]:ፈሳ፟::fsy.Aw_
fsfs:[as=rc,vc=ps]:ተፈሳፈ፟ሰ::fsfs.F_ps
fss:[as=smp,vc=smp]:ፈሰ፟ሰ::gwd.A_ps
fss:[as=smp,vc=tr]:አፈሰ፟ሰ::gwd.A_cs
ft':[as=it,vc=tr]:አፍታታ፟::fth.A_cspsit
ft':[as=rc,vc=ps]:ተፋታ፟::fth.A_psrc
ft':[as=smp,vc=cs]:አስፈታ፟::fth.A_csps
ft':[as=smp,vc=smp]:ፈታ፟::fth.A_
ft_g:[as=rc,vc=ps]:ተፋተ፟ገ::xxy.A_ps
ft_x:[as=smp,vc=smp]:ፈተ፟ሸ::ftx.B_
ftft:[as=smp,vc=smp]:ፈተፈ፟ተ::ftft.E_
ftl:[as=smp,vc=smp]:ፈተ፟ለ::ftl.A_
fy_d:[as=smp,vc=smp]:ፈየ፟ደ::fry.B_cs
fzz:[as=smp,vc=smp]:ፈዘ፟ዘ::fzz.A_
fzz:[as=smp,vc=tr]:አፈዘ፟ዘ::fzz.A_cs
f|lqlq:[as=smp,vc=ps]:ተፍለቀለ፟ቀ::flh.A_
g'T:[as=it,vc=ps]:ተጋጋጠ::ghT.A_psit
g'T:[as=smp,vc=tr]:አጋጠ::ghT.A_cs
g'l:[as=smp,vc=tr]:አጋለ::ghl.A_cs
g't:[as=smp,vc=smp]:ጋተ::wgh.A_
g'z:[as=smp,vc=tr]:አጋዘ::ghz.A_cs
gC*:[as=it,vc=ps]:ተገጫጨ፟::gCy.A_psit
gC*:[as=smp,vc=smp]:ገጨ፟::gCy.A_
gN*:[as=it,vc=ps]:ተገናኘ፟::gNy.A_psit
gN*:[as=it,vc=tr]:አገ፟ናኘ፟::gNy.A_cspsit
gN*:[as=smp,vc=ps]:ተገኘ፟::gNy.A_ps
gN*:[as=smp,vc=tr]:አገኘ፟::gNy.A_cs
gTm:[as=it,vc=ps]:ተገጣጠ፟መ::gTm.A_psit
gTm:[as=rc,vc=tr]:አጋ፟ጠ፟መ::gTm.A_
gTm:[as=smp,vc=ps]:ተገጠ፟መ::gTm.A_ps
gTm:[as=smp,vc=smp]:ገጠ፟መ::gTm.A_
gW'gW':[as=smp,vc=smp]:ጓጓ፟::bbh.C_
gW'z:[as=smp,vc=ps]:ተጓዘ::gWhz.A_ps
gWbN*:[as=smp,vc=smp]:ጐበኘ፟::hZy.A_
gWbdd:[as=smp,vc=tr]:አጐበደ፟ደ::gWrbb.E_cs
gWd':[as=smp,vc=ps]:ተጐዳ፟::gdh.AW_ps
gWd':[as=smp,vc=smp]:ጐዳ፟::gdh.AW_
gWdgWd:[as=smp,vc=smp]:ጐደጐ፟ደ::gWdgWd.E_
gWdgWd:[as=smp,vc=tr]:አጐደጐ፟ደ::gWdgWd.E_cs
gWdl:[as=smp,vc=smp]:ጐደ፟ለ::qbl.A_
gWdl:[as=smp,vc=tr]:አጐደ፟ለ::qbl.A_cs
gWf_r:[as=smp,vc=tr]:አጐፈ፟ረ::gfr.AW_cs
gWl_t:[as=smp,vc=smp]:ጐለ፟ተ::zfzf.E_
gWmall:[as=smp,vc=ps]:ተጐማለ፟ለ::gWmll.F_ps
gWn_T:[as=smp,vc=smp]:ጐነ፟ጠ::gnT.B_
gWnbs:[as=smp,vc=tr]:አጐነበ፟ሰ::gWnbs.E_cs
gWr':[as=rc,vc=tr]:አጓ፟ራ፟::ggr.AW_cs
gWrbT:[as=smp,vc=smp]:ጐረበ፟ጠ::qWrqWr.E_
gWrms:[as=smp,vc=smp]:ጐረመ፟ሰ::gWlms.E_
gWrn':[as=smp,vc=smp]:ጐረና፟::Tngh.E_
gWrs:[as=it,vc=tr]:አጐ፟ራረ፟ሰ::tkm.B_csit
gWrs:[as=smp,vc=smp]:ጐረ፟ሰ::tkm.B_
gWsqWl:[as=rc,vc=ps]:ተጐሳቈ፟ለ::bls.A_psrc
gWsqWl:[as=rc,vc=tr]:አጐ፟ሳቈ፟ለ::bls.A_cspsrc
gWt_t:[as=smp,vc=smp]:ጐተ፟ተ::zmd.A_
gWtgWt:[as=smp,vc=smp]:ጐተጐ፟ተ::wtwt.E_
gWzgWz:[as=smp,vc=smp]:ጐዘጐ፟ዘ::gWzgWz.E_
gW|mTmT:[as=smp,vc=ps]:ተጕመጠመ፟ጠ::gmT.AW_psit
gW|rTrT:[as=smp,vc=tr]:አጕረጠረ፟ጠ::fTT.A_cs
gabz:[as=smp,vc=smp]:ጋበ፟ዘ::gbz.C_
gagr:[as=smp,vc=cs]:አስጋገ፟ረ::bsl.A_csps
gagr:[as=smp,vc=smp]:ጋገ፟ረ::bsl.A_cs
galb:[as=smp,vc=smp]:ጋለ፟በ::glb.C_
gard:[as=smp,vc=smp]:ጋረ፟ደ::grd.C_
gaxb:[as=smp,vc=smp]:ጋሸ፟በ::gxb.C_
gb':[as=it,vc=tr]:አግባባ፟::gbh.A_csit
gb':[as=rc,vc=tr]:አጋ፟ባ፟::gbh.A_cspsrc
gb':[as=smp,vc=cs]:አስገባ፟::gbh.A_cs
gb':[as=smp,vc=tr]:አገባ፟::gbh.A_cs
gb_r:[as=smp,vc=smp]:ገበ፟ረ::gbr.B_
gd_b:[as=smp,vc=smp]:ገደ፟በ::gdb.B_
gdf:[as=smp,vc=smp]:ገደ፟ፈ::gdf.A_
gdgd:[as=smp,vc=smp]:ገደገ፟ደ::gdgd.E_
gdl:[as=rc,vc=ps]:ተጋደ፟ለ::gdl.A_psrc
gdl:[as=rc,vc=tr]:አጋ፟ደ፟ለ::gdl.A_cspsrc
gdl:[as=smp,vc=cs]:አስገደ፟ለ::gdl.A_csps
gdl:[as=smp,vc=smp]:ገደ፟ለ::gdl.A_
gdm:[as=rc,vc=ps]:ተጋደ፟መ::gdm.C_ps
gdm:[as=rc,vc=tr]:አጋ፟ደ፟መ::gdm.C_cs
gf':[as=it,vc=ps]:ተግፋፋ፟::gfh.A_psit
gf':[as=rc,vc=ps]:ተጋፋ፟::gfh.A_psrc
gf':[as=smp,vc=ps]:ተገፋ፟::gfh.A_ps
gf':[as=smp,vc=smp]:ገፋ፟::gfh.A_
gg_m:[as=smp,vc=tr]:አገገ፟መ::qnqn.E_cs
glS:[as=it,vc=smp]:ገላለ፟ጸ::glT.A_it
glS:[as=rc,vc=ps]:ተጋለ፟ጸ::glT.A_psrc
glagl:[as=smp,vc=smp]:ገላገ፟ለ::glgl.F_
glb:[as=smp,vc=smp]:ገለ፟በ::glb.A_
glbT:[as=rc,vc=ps]:ተገላበ፟ጠ::glbT.E_psrc
glbT:[as=rc,vc=tr]:አገ፟ላበ፟ጠ::glbT.E_cspsrc
glbT:[as=smp,vc=ps]:ተገለበ፟ጠ::glbT.E_ps
glbT:[as=smp,vc=smp]:ገለበ፟ጠ::glbT.E_
gldm:[as=smp,vc=tr]:አገለደ፟መ::xbll.F_cs
glgl:[as=smp,vc=tr]:አገለገ፟ለ::glgl.E_cs
gll:[as=smp,vc=tr]:አገለ፟ለ::xxy.A_cs
gmT:[as=smp,vc=smp]:ገመ፟ጠ::gmT.A_
gm_d:[as=smp,vc=smp]:ገመ፟ደ::TTh.C_
gm_t:[as=smp,vc=smp]:ገመ፟ተ::gmt.B_
gms:[as=it,vc=smp]:ገማመ፟ሰ::gms.A_it
gms:[as=rc,vc=ps]:ተጋመ፟ሰ::gms.A_psrc
gms:[as=rc,vc=tr]:አጋ፟መ፟ሰ::gms.A_cspsrc
gnTl:[as=smp,vc=smp]:ገነጠ፟ለ::nfq.A_
gnb':[as=smp,vc=ps]:ተገነባ፟::rxy.A_ps
gnb':[as=smp,vc=smp]:ገነባ፟::rxy.A_cs
gnf':[as=smp,vc=tr]:አገነፋ፟::gnfh.E_cs
gngn:[as=smp,vc=tr]:አገነገ፟ነ::wbNy.E_
gnz:[as=smp,vc=ps]:ተገነ፟ዘ::gnz.B_ps
gnz:[as=smp,vc=smp]:ገነ፟ዘ::gnz.B_
gr':[as=rc,vc=ps]:ተጋራ፟::grh.A_psrc
grT':[as=smp,vc=smp]:ገረጣ፟::sncy.E_
gr_z:[as=smp,vc=ps]:ተገረ፟ዘ::lgs.B_ps
gr_z:[as=smp,vc=smp]:ገረ፟ዘ::lgs.B_cs
grf:[as=smp,vc=smp]:ገረ፟ፈ::grf.A_
grm:[as=smp,vc=cs]:አስገረ፟መ::grm.A_csps
grm:[as=smp,vc=ps]:ተገረ፟መ::grm.A_ps
gs':[as=smp,vc=tr]:አገሳ፟::gsh.A_cs
gsgs:[as=smp,vc=smp]:ገሰገ፟ሰ::gsgs.E_
gt_r:[as=rc,vc=ps]:ተጋተ፟ረ::gtr.B_psrc
gt_r:[as=smp,vc=ps]:ተገተ፟ረ::gtr.B_ps
gt_r:[as=smp,vc=smp]:ገተ፟ረ::gtr.B_
gz':[as=smp,vc=smp]:ገዛ፟::wjy.C_
gzf:[as=smp,vc=tr]:አገዘ፟ፈ::gnth.E_cs
gzgz:[as=smp,vc=smp]:ገዘገ፟ዘ::clcl.E_
g|drdr:[as=smp,vc=ps]:ተግደረደ፟ረ::drg.A_psit
hwn:[as=smp,vc=smp]:ሆነ::kwn.A_
hyd:[as=smp,vc=smp]:ሄደ::hlf.A_
jm_r:[as=it,vc=smp]:ጀማመ፟ረ::qrs.A_it
jm_r:[as=smp,vc=ps]:ተጀመ፟ረ::qrs.A_ps
jm_r:[as=smp,vc=smp]:ጀመ፟ረ::qrs.A_
jn_n:[as=smp,vc=ps]:ተጀነ፟ነ::qnn.AW_ps
k'f':[as=smp,vc=tr]:አካፋ፟::cfcf.E_
k'n:[as=smp,vc=ps]:ተካነ::khn.A_ps
k's:[as=it,vc=ps]:ተካካሰ::khs.A_psit
k's:[as=it,vc=tr]:አካ፟ካሰ::khs.A_csit
k's:[as=smp,vc=ps]:ተካሰ::khs.A_ps
kW'l:[as=smp,vc=ps]:ተኳለ::kWhl.A_ps
kWbkWb:[as=smp,vc=tr]:አኰበኰ፟በ::qnTh.E_csps
kWbll:[as=smp,vc=smp]:ኰበለ፟ለ::Tfh.A_
kWl':[as=smp,vc=tr]:አኰላ፟::kWlxy.F_csps
kWlatf:[as=smp,vc=ps]:ተኰላተ፟ፈ::tbtb.E_psrc
kWlax*:[as=smp,vc=ps]:ተኰላሸ፟::kWlxy.F_ps
kWnatr:[as=smp,vc=ps]:ተኰናተ፟ረ::kWntr.F_ps
kWrf:[as=smp,vc=tr]:አኰረ፟ፈ::mkr.C_cs
kWrkWm:[as=smp,vc=smp]:ኰረኰ፟መ::qrh.AW_
kWstr:[as=rc,vc=ps]:ተኰሳተ፟ረ::kWstr.F_ps
kbd:[as=smp,vc=tr]:አከበ፟ደ::kbd.A_cs
kbr:[as=it,vc=ps]:ተከባበ፟ረ::kbr.A_psit
kbr:[as=smp,vc=cs]:አስከበ፟ረ::kbr.A_csps
kbr:[as=smp,vc=ps]:ተከበ፟ረ::kbr.A_ps
kd':[as=it,vc=ps]:ተክዳዳ፟::lgh.A_psrc
kd':[as=smp,vc=smp]:ከዳ፟::lgh.A_
kdn:[as=smp,vc=cs]:አስከደ፟ነ::kdn.A_csps
kdn:[as=smp,vc=smp]:ከደ፟ነ::kdn.A_
kfl:[as=rc,vc=ps]:ተካፈ፟ለ::kfl.A_psrc
kfl:[as=rc,vc=tr]:አካ፟ፈ፟ለ::kfl.A_cspsrc
kfl:[as=smp,vc=ps]:ተከፈ፟ለ::kfl.A_ps
kft:[as=smp,vc=smp]:ከፈ፟ተ::kft.A_
km_r:[as=smp,vc=ps]:ተከመ፟ረ::qll.AW_ps
km_r:[as=smp,vc=smp]:ከመ፟ረ::qll.AW_
kmac*:[as=smp,vc=tr]:አከማቸ፟::Zgb.B_
kray*:[as=smp,vc=ps]:ተከራየ፟::kryy.F_ps
krkm:[as=smp,vc=ps]:ተከረከ፟መ::kmkm.E_ps
krkr:[as=rc,vc=ps]:ተከራከ፟ረ::krkr.F_ps
krkr:[as=rc,vc=tr]:አከ፟ራከ፟ረ::krkr.F_csps
krm:[as=smp,vc=smp]:ከረ፟መ::snbt.E_
krm:[as=smp,vc=tr]:አከረ፟መ::snbt.E_cs
krr:[as=smp,vc=tr]:አከረ፟ረ::krr.A_cs
ksl:[as=smp,vc=tr]:አከሰ፟ለ::ksl.A_cs
ksr:[as=smp,vc=tr]:አከሰ፟ረ::ksr.A_cs
kss:[as=rc,vc=ps]:ተካሰ፟ሰ::kss.C_ps
kt_l:[as=it,vc=tr]:አከ፟ታተ፟ለ::ktl.B_cspsit
kt_l:[as=smp,vc=ps]:ተከተ፟ለ::ktl.B_ps
ktf:[as=smp,vc=cs]:አስከተ፟ፈ::mtr.A_csps
ktf:[as=smp,vc=smp]:ከተ፟ፈ::mtr.A_
ktt:[as=smp,vc=ps]:ተከተ፟ተ::Tqn.A_ps
l'T:[as=smp,vc=ps]:ተላጠ::mlT.A_ps
l'T:[as=smp,vc=smp]:ላጠ::mlT.A_
l'b:[as=smp,vc=tr,ob=[+xpl]]:አላበው::wzh.A_cs3
l'f:[as=smp,vc=smp]:ላፈ::trbb.E_
l'k:[as=it,vc=ps]:ተላላከ::lhk.A_psit
l'k:[as=smp,vc=ps]:ተላከ::lhk.A_ps
l'k:[as=smp,vc=smp]:ላከ::lhk.A_
l'l':[as=smp,vc=tr]:አላላ፟::lhlh.E_cs
l'm:[as=smp,vc=smp]:ላመ::slq.B_ps
l'q:[as=smp,vc=tr]:አላቀ::blT.A_csps
l's:[as=smp,vc=smp]:ላሰ::lhs.A_
l's:[as=smp,vc=tr]:አላሰ::lhs.A_cs
lT_f:[as=smp,vc=smp]:ለጠ፟ፈ::lTf.B_
laC*:[as=smp,vc=ps]:ተላጨ፟::lCy.C_ps
lbs:[as=smp,vc=smp]:ለበ፟ሰ::lbs.A_
lbs:[as=smp,vc=tr]:አለበ፟ሰ::lbs.A_cs
lf':[as=rc,vc=ps]:ተላፋ፟::lfh.A_psrc
lf':[as=smp,vc=smp]:ለፋ፟::lfh.A_
lf':[as=smp,vc=tr]:አለፋ፟::lfh.A_cs
lflf:[as=smp,vc=smp]:ለፈለ፟ፈ::lflf.E_
lgT:[as=rc,vc=tr]:አላ፟ገ፟ጠ::lgT.A_cspsrc
lg_m:[as=smp,vc=smp]:ለገ፟መ::lgm.B_
lkW_s:[as=smp,vc=smp]:ለኰ፟ሰ::lgT.AW_
lk_':[as=smp,vc=smp]:ለካ፟::lkh.B_
lklk:[as=smp,vc=tr]:አለከለ፟ከ::lklk.E_cs
lm':[as=smp,vc=smp]:ለማ፟::lmh.A_
lm':[as=smp,vc=tr]:አለማ፟::lmh.A_cs
lm_n:[as=smp,vc=smp]:ለመ፟ነ::Tqs.AW_
lmd:[as=smp,vc=cs]:አስለመ፟ደ::rxy.Aw_cs
lmd:[as=smp,vc=smp]:ለመ፟ደ::rxy.Aw_
lmlm:[as=smp,vc=smp]:ለመለ፟መ::brk.C_ps
lqm:[as=it,vc=smp]:ለቃቀ፟መ::lqm.A_it
lqm:[as=smp,vc=smp]:ለቀ፟መ::lqm.A_
lqq:[as=rc,vc=ps]:ተላቀ፟ቀ::gfr.A_psrc
lqq:[as=smp,vc=cs]:አስለቀ፟ቀ::gfr.A_csps
lqq:[as=smp,vc=smp]:ለቀ፟ቀ::gfr.A_
lqs:[as=it,vc=tr]:አለ፟ቃቀ፟ሰ::bxy.A_psit
lqs:[as=rc,vc=ps]:ተላቀ፟ሰ::bxy.A_psrc
lqs:[as=smp,vc=cs]:አስለቀ፟ሰ::bxy.A_csps
lqs:[as=smp,vc=tr]:አለቀ፟ሰ::bxy.A_
ls_n:[as=smp,vc=smp]:ለሰ፟ነ::lsn.B_
lsls:[as=rc,vc=tr]:አለ፟ሳለ፟ሰ::lsls.E_cspsrc
lsls:[as=smp,vc=tr]:አለሰለ፟ሰ::lsls.E_cs
lt_m:[as=it,vc=ps]:ተለታተ፟መ::gCy.A_psit
lt_m:[as=rc,vc=tr]:አላ፟ተ፟መ::gCy.A_
lw_T:[as=it,vc=ps]:ተለዋወ፟ጠ::sgr.B_psit
lw_T:[as=smp,vc=cs]:አስለወ፟ጠ::sgr.B_cs
lw_T:[as=smp,vc=ps]:ተለወ፟ጠ::sgr.B_ps
lw_T:[as=smp,vc=smp]:ለወ፟ጠ::sgr.B_
l|kWskWs:[as=smp,vc=tr]:አልኰሰኰ፟ሰ::rmT.B_csit
l|ksks:[as=smp,vc=ps]:ተልከሰከ፟ሰ::lks.A_psit
m'T:[as=smp,vc=tr]:አማጠ::mhT.A_cs
m'g:[as=smp,vc=smp]:ማገ::mhg.A_
m'g:[as=smp,vc=tr]:አማገ::mhg.A_cs
m'l:[as=smp,vc=cs]:አስማለ::mhl.A_csps
m'l:[as=smp,vc=smp]:ማለ::mhl.A_
m'r:[as=smp,vc=cs]:አስተማረ::mhr.A_csps
m'r:[as=smp,vc=ps]:ተማረ::mhr.A_ps
mN*:[as=smp,vc=ps]:ተመኘ፟::mnh.B_ps
mSadq:[as=smp,vc=ps]:ተመጻደ፟ቀ::nyd.A_psit
mT':[as=it,vc=tr]:አምጣጣ፟::mTh.A_csit
mT':[as=rc,vc=tr]:አማ፟ጣ፟::mTh.A_cspsrc
mT':[as=smp,vc=cs]:አስመጣ፟::mTh.A_csps
mT':[as=smp,vc=smp]:መጣ፟::mTh.A_
mT':[as=smp,vc=tr]:አመጣ፟::mTh.A_cs
mTT:[as=smp,vc=smp]:መጠ፟ጠ::mTT.A_
mT_n:[as=smp,vc=smp]:መጠ፟ነ::mTn.B_
mWN_*:[as=smp,vc=ps]:ተሞኘ፟::tll.C_ps
mWaTT:[as=smp,vc=ps]:ተሟጠ፟ጠ::brq.A_
mWaTT:[as=smp,vc=tr]:አሟጠ፟ጠ::brq.A_cs
mWg_s:[as=smp,vc=ps]:ተሞገ፟ሰ::mgs.AW_ps
mWg_s:[as=smp,vc=tr]:አሞገ፟ሰ::mgs.AW_cs
mWg_t:[as=rc,vc=ps]:ተሟገ፟ተ::mWgt.C_ps
mWg_t:[as=rc,vc=tr]:አሟ፟ገ፟ተ::mWgt.C_csps
mWk_r:[as=smp,vc=ps]:ተሞከ፟ረ::qTh.C_ps
mWk_r:[as=smp,vc=smp]:ሞከ፟ረ::qTh.C_
mWl':[as=rc,vc=tr]:አሟ፟ላ፟::mlh.AW_cspsrc
mWr_d:[as=smp,vc=ps]:ተሞረ፟ደ::shl.A_ps
mWxlq:[as=smp,vc=smp]:ሞሸለ፟ቀ::mwT.A_cs
magr:[as=smp,vc=ps]:ተማገ፟ረ::mgr.C_ps
magr:[as=smp,vc=smp]:ማገ፟ረ::mgr.C_
mall:[as=smp,vc=tr]:አማለ፟ለ::lglg.F_csps
mark:[as=smp,vc=ps]:ተማረ፟ከ::qft.B_ps
mark:[as=smp,vc=smp]:ማረ፟ከ::qft.B_
matb:[as=smp,vc=tr]:አማተ፟በ::mtb.C_cs
mg_b:[as=smp,vc=smp]:መገ፟በ::blh.A_cs
mgl:[as=smp,vc=smp]:መገ፟ለ::mgl.A_
mgmg:[as=smp,vc=smp]:መገመ፟ገ::mgmg.E_
mk':[as=smp,vc=ps]:ተመካ፟::wxy.B_ps
mkn:[as=smp,vc=smp]:መከ፟ነ::msn.B_
mkr:[as=it,vc=ps]:ተመካከ፟ረ::mkr.A_
mkr:[as=rc,vc=ps]:ተማከ፟ረ::mkr.A_psrc
mkr:[as=rc,vc=tr]:አማ፟ከ፟ረ::mkr.A_cspsrc
mkr:[as=smp,vc=cs]:አስመከ፟ረ::mkr.A_csps
mkr:[as=smp,vc=smp]:መከ፟ረ::mkr.A_
mlT:[as=smp,vc=ps]:ተመለ፟ጠ::mlT.A_ps
mlT:[as=smp,vc=smp]:መለ፟ጠ::mlT.A_
mlT:[as=smp,vc=tr]:አመለ፟ጠ::mlT.A_cs
ml_s:[as=it,vc=tr]:አመ፟ላለ፟ሰ::zbr.B_cspsit
ml_s:[as=smp,vc=cs,ob=[+xpl]]:አስመለ፟ሰው::zbr.B_cs3
ml_s:[as=smp,vc=ps]:ተመለ፟ሰ::zbr.B_ps
ml_s:[as=smp,vc=smp]:መለ፟ሰ::zbr.B_
mlkt:[as=smp,vc=tr]:አመለከ፟ተ::mlkt.E_cs
mlml:[as=smp,vc=smp]:መለመ፟ለ::mlml.E_
mnC*:[as=smp,vc=smp]:መነጨ፟::flq.A_
mnCq:[as=smp,vc=smp]:መነጨ፟ቀ::nTq.A_
mnTq:[as=smp,vc=smp]:መነጠ፟ቀ::qnTh.E_
mnTr:[as=smp,vc=cs]:አስመነጠ፟ረ::mnTr.E_cs
mnTr:[as=smp,vc=smp]:መነጠ፟ረ::mnTr.E_
mn_n:[as=smp,vc=smp]:መነ፟ነ::mnn.B_
mnck:[as=smp,vc=smp]:መነቸ፟ከ::mnck.E_
mnkWs:[as=smp,vc=smp]:መነኰ፟ሰ::mWlkWs.E_
mnmn:[as=rc,vc=tr]:አመ፟ናመ፟ነ::mnmn.E_cs
mnmn:[as=smp,vc=smp]:መነመ፟ነ::mnmn.E_
mnmn:[as=smp,vc=tr]:አመነመ፟ነ::mnmn.E_cs
mnqr:[as=smp,vc=smp]:መነቀ፟ረ::mnqr.E_
mnt':[as=smp,vc=tr]:አመነታ፟::wlwl.F_csps
mr':[as=smp,vc=ps]:ተመራ፟::mrh.A_ps
mr':[as=smp,vc=smp]:መራ፟::mrh.A_
mrT:[as=smp,vc=cs]:አስመረ፟ጠ::mTr.B_csps
mrT:[as=smp,vc=ps]:ተመረ፟ጠ::mTr.B_ps
mrT:[as=smp,vc=smp]:መረ፟ጠ::mTr.B_
mr_q:[as=smp,vc=cs]:አስመረ፟ቀ::mrq.B_csps
mr_q:[as=smp,vc=smp]:መረ፟ቀ::mrq.B_
mr_z:[as=smp,vc=ps]:ተመረ፟ዘ::mrz.B_ps
mrg:[as=smp,vc=smp]:መረ፟ገ::mrg.A_
mrkWz:[as=smp,vc=ps]:ተመረኰ፟ዘ::brgz.E_cs
mrmr:[as=smp,vc=cs]:አስመረመ፟ረ::mrmr.E_csps
mrmr:[as=smp,vc=ps]:ተመረመ፟ረ::mrmr.E_ps
mrmr:[as=smp,vc=smp]:መረመ፟ረ::mrmr.E_
mrqz:[as=smp,vc=tr]:አመረቀ፟ዘ::nfrq.E_
mrr:[as=smp,vc=smp]:መረ፟ረ::mrr.A_
mrt:[as=smp,vc=ps]:ተመረ፟ተ::mrt.AW_
ms_T:[as=smp,vc=smp]:መሰ፟ጠ::wll.C_cs
msgn:[as=smp,vc=cs]:አስመሰገ፟ነ::msgn.E_csps
msgn:[as=smp,vc=tr]:አመሰገ፟ነ::msgn.E_cs
mskW':[as=smp,vc=tr]:አመሰኳ፟::mzk.B_
mskr:[as=smp,vc=cs]:አስመሰከ፟ረ::mskr.E_csps
mskr:[as=smp,vc=smp]:መሰከ፟ረ::mskr.E_
msl:[as=rc,vc=tr]:አማ፟ሰ፟ለ::msl.A_cspsrc
msl:[as=smp,vc=cs]:አስመሰ፟ለ::msl.A_csps
msl:[as=smp,vc=smp]:መሰ፟ለ::msl.A_
msrt:[as=smp,vc=ps]:ተመሰረ፟ተ::tkl.A_ps
mt':[as=smp,vc=ps]:ተመታ፟::wqh.A_ps
mt':[as=smp,vc=smp]:መታ፟::wqh.A_
mtr:[as=smp,vc=cs]:አስመተ፟ረ::mtr.A_csps
mtr:[as=smp,vc=smp]:መተ፟ረ::mtr.A_
mwq:[as=it,vc=ps]:ተሟሟቀ::mhq.A_psit
mwq:[as=smp,vc=smp]:ሞቀ::mhq.A_
mwt:[as=smp,vc=smp]:ሞተ::mwt.A_
mx*:[as=smp,vc=tr]:አመሸ፟::mxy.A_cs
mz_n:[as=smp,vc=cs]:አስመዘ፟ነ::mzn.B_csps
mz_n:[as=smp,vc=smp]:መዘ፟ነ::mzn.B_
n'T:[as=smp,vc=smp]:ናጠ::nyT.A_
n'd:[as=smp,vc=ps]:ተናደ::ghz.A_
n'q:[as=smp,vc=smp]:ናቀ::mNy.C_
nC*:[as=smp,vc=ps]:ተነጨ፟::nCy.A_ps
nC*:[as=smp,vc=smp]:ነጨ፟::nCy.A_
nCanC:[as=smp,vc=ps]:ተነጫነ፟ጨ::gWrfT.F_ps
nT_l:[as=smp,vc=smp]:ነጠ፟ለ::nTl.B_
nTf:[as=smp,vc=smp]:ነጠ፟ፈ::nTf.A_
nTq:[as=smp,vc=ps]:ተነጠ፟ቀ::nTq.A_ps
nTq:[as=smp,vc=smp]:ነጠ፟ቀ::nTq.A_
nTr:[as=smp,vc=smp]:ነጠ፟ረ::nTr.A_
nTr:[as=smp,vc=tr]:አነጠ፟ረ::nTr.A_cs
nafq:[as=it,vc=ps]:ተነፋፈ፟ቀ::bWrs.C_ps
nawz:[as=smp,vc=smp]:ናወ፟ዘ::nwz.C_
nazz:[as=smp,vc=ps]:ተናዘ፟ዘ::nzz.C_ps
nazz:[as=smp,vc=tr]:አናዘ፟ዘ::nzz.C_csps
nb':[as=smp,vc=tr]:አነባ፟::bxy.A_
nb_b:[as=smp,vc=tr]:አነበ፟በ::nbb.A_cs
nd':[as=smp,vc=smp]:ነዳ፟::dbl.B_
ndd:[as=rc,vc=ps]:ተናደ፟ደ::qCy.Aw_ps
ndd:[as=rc,vc=tr]:አና፟ደ፟ደ::qCy.Aw_csit
ndf:[as=rc,vc=ps]:ተናደ፟ፈ::ndf.A_psrc
ndf:[as=smp,vc=ps]:ተነደ፟ፈ::ndf.A_ps
ndf:[as=smp,vc=smp]:ነደ፟ፈ::ndf.A_
ndl:[as=smp,vc=smp]:ነደ፟ለ::ndl.A_
nf':[as=smp,vc=smp]:ነፋ፟::nfh.A_
nfg:[as=smp,vc=ps]:ተነፈ፟ገ::nfg.A_ps
nfs:[as=smp,vc=smp]:ነፈ፟ሰ::nfs.A_
nfs:[as=smp,vc=tr]:አነፈ፟ሰ::nfs.A_cs
ng':[as=smp,vc=smp]:ነጋ፟::zNy.C_
ng':[as=smp,vc=tr]:አነጋ፟::zNy.C_cs
ngd:[as=smp,vc=smp]:ነገ፟ደ::ngd.A_
